Año,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio
2023,Cárdenas,El patrimonio,Robo,Otros robos,Sin violencia,21,14,33,30,15,25
2023,Cárdenas,El patrimonio,Fraude,Fraude,Fraude,4,2,5,3,3,5
2023,Cárdenas,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,4,5,4,4,6,8
2023,Cárdenas,El patrimonio,Extorsión,Extorsión,Extorsión,3,0,1,0,0,1
2023,Cárdenas,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,16,15,16,17,20,24
2023,Cárdenas,El patrimonio,Despojo,Despojo,Despojo,6,2,4,2,3,2
2023,Cárdenas,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,1,3,1,0,1,2
2023,Cárdenas,La familia,Violencia familiar,Violencia familiar,Violencia familiar,26,32,35,31,43,43
2023,Cárdenas,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0,0,0,0,0
2023,Cárdenas,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,8,9,12,13,11,10
2023,Cárdenas,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,0,0,0,0,0
2023,Cárdenas,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,0,0,0,0,1,0
2023,Cárdenas,La sociedad,Trata de personas,Trata de personas,Trata de personas,0,0,0,0,0,0
2023,Cárdenas,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,0,0,0,0,0,0
2023,Cárdenas,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,1,0,0,0,0,0
2023,Cárdenas,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,19,28,33,24,39,28
2023,Cárdenas,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,3,1,3,2,1,4
2023,Cárdenas,Otros bienes jurídicos afectados (del fuero común),Evasión de presos,Evasión de presos,Evasión de presos,0,0,1,0,0,0
2023,Cárdenas,Otros bienes jurídicos afectados (del fuero común),Falsedad,Falsedad,Falsedad,1,0,0,0,0,0
2023,Cárdenas,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,0,0,0,0,0,2
2023,Cárdenas,Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente,Contra el medio ambiente,0,0,0,0,0,0
2023,Cárdenas,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,3,2,2,2,0,3
2023,Cárdenas,Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales,Electorales,0,0,0,0,0,0
2023,Cárdenas,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,32,39,51,45,49,50
2023,Centla,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,0,0,1,0,0,0
2023,Centla,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,1,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,2,0,0,0,1,0
2023,Centla,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,2,0,2,2,0,1
2023,Centla,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,0,5,2,0,1,1
2023,Centla,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,0,0,3,2,1,1
2023,Centla,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,16,13,25,10,16,16
2023,Centla,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,4,2,6,3,6,4
2023,Centla,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0,1,0,0,0
2023,Centla,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Aborto,Aborto,Aborto,0,0,0,0,0,0
2023,Centla,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,2,2,1,3,4,4
2023,Centla,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,0,0,0,0,0
2023,Centla,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0,0,0,0,0
2023,Centla,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0,0,0,0,0
2023,Centla,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0,0,0,0,0
2023,Centla,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0,0,0,0,0
2023,Centla,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0
2023,Centla,Libertad personal,Rapto,Rapto,Rapto,0,0,0,0,0,0
2023,Centla,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,4,0,1,3,3,2
2023,Centla,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,1,2,1,0,2,1
2023,Centla,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0,0,0,0,0
2023,Centla,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,0,1,2,1,0,0
2023,Centla,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,2,0,0,1,2,0
2023,Centla,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,0,0,0,0,0
